Date,Adj Close,Close,High,Low,Open,Volume,BenchmarkClose
2025-09-22,159.7899932861328,159.7899932861328,162.67999267578125,157.4199981689453,157.4199981689453,46505500,6693.75
2025-09-23,160.89999389648438,160.89999389648438,163.38999938964844,159.2100067138672,160.52000427246094,39448300,6656.919921875
2025-09-24,160.8800048828125,160.8800048828125,165.10000610351562,158.42999267578125,162.97999572753906,38464100,6637.97021484375
2025-09-25,161.27000427246094,161.27000427246094,161.6300048828125,154.77999877929688,157.13999938964844,36809900,6604.72021484375
2025-09-26,159.4600067138672,159.4600067138672,162.11000061035156,157.0500030517578,160.52000427246094,30316900,6643.7001953125
2025-09-29,161.36000061035156,161.36000061035156,164.3000030517578,159.89999389648438,160.1199951171875,39828800,6661.2099609375
2025-09-30,161.7899932861328,161.7899932861328,162.27999877929688,159.3300018310547,160.7899932861328,29669300,6688.4599609375
2025-10-01,164.00999450683594,164.00999450683594,164.17999267578125,160.49000549316406,160.92999267578125,39895200,6711.2001953125
2025-10-02,169.72999572753906,169.72999572753906,171.05999755859375,166.1199951171875,168.67999267578125,55475200,6715.35009765625
2025-10-03,164.6699981689453,164.6699981689453,170.67999267578125,163.13999938964844,170.67999267578125,42699100,6715.7900390625
2025-10-06,203.7100067138672,203.7100067138672,226.7100067138672,203.00999450683594,226.4499969482422,248859600,6740.27978515625
2025-10-07,211.50999450683594,211.50999450683594,218.89999389648438,209.27999877929688,214.85000610351562,115748100,6714.58984375
2025-10-08,235.55999755859375,235.55999755859375,235.8699951171875,210.6999969482422,212.9499969482422,159983500,6753.72021484375
2025-10-09,232.88999938964844,232.88999938964844,240.10000610351562,229.52999877929688,236.3000030517578,94290700,6735.10986328125
2025-10-10,214.89999389648438,214.89999389648438,234.22000122070312,213.1999969482422,232.77000427246094,118656600,6552.509765625
2025-10-13,216.4199981689453,216.4199981689453,224.19000244140625,214.89999389648438,220.1999969482422,63104000,6654.72021484375
2025-10-14,218.08999633789062,218.08999633789062,224.97999572753906,215.89999389648438,219.1999969482422,71216300,6644.31005859375
2025-10-15,238.60000610351562,238.60000610351562,239.24000549316406,220.75999450683594,222.7100067138672,108481000,6671.06005859375
2025-10-16,234.55999755859375,234.55999755859375,241.1999969482422,232.24000549316406,236.2899932861328,69726400,6629.06982421875
2025-10-17,233.0800018310547,233.0800018310547,235.3800048828125,227.91000366210938,233.25999450683594,55804200,6664.009765625
2025-10-20,240.55999755859375,240.55999755859375,242.8800048828125,234.39999389648438,236.47000122070312,56741700,6735.1298828125
2025-10-21,238.02999877929688,238.02999877929688,242.25999450683594,234.02000427246094,239.38999938964844,47122400,6735.35009765625
