Date,Adj Close,Close,High,Low,Open,Volume,BenchmarkClose
2025-09-22,183.58984375,183.61000061035156,184.5500030517578,174.7100067138672,175.3000030517578,269637000,6693.75
2025-09-23,178.410400390625,178.42999267578125,182.4199981689453,176.2100067138672,181.97000122070312,192559600,6656.919921875
2025-09-24,176.9505615234375,176.97000122070312,179.77999877929688,175.39999389648438,179.77000427246094,143564100,6637.97021484375
2025-09-25,177.67050170898438,177.69000244140625,180.25999450683594,173.1300048828125,174.47999572753906,191586700,6604.72021484375
2025-09-26,178.17044067382812,178.19000244140625,179.77000427246094,174.92999267578125,178.1699981689453,148573700,6643.7001953125
2025-09-29,181.83004760742188,181.85000610351562,184.0,180.32000732421875,180.42999267578125,193063500,6661.2099609375
2025-09-30,186.55950927734375,186.5800018310547,187.35000610351562,181.47999572753906,182.0800018310547,236981000,6688.4599609375
2025-10-01,187.21945190429688,187.24000549316406,188.13999938964844,183.89999389648438,185.24000549316406,173844900,6711.2001953125
2025-10-02,188.8692626953125,188.88999938964844,191.0500030517578,188.05999755859375,189.60000610351562,136805800,6715.35009765625
2025-10-03,187.59939575195312,187.6199951171875,190.36000061035156,185.3800048828125,189.19000244140625,137596900,6715.7900390625
2025-10-06,185.51962280273438,185.5399932861328,187.22999572753906,183.3300018310547,185.5,157678100,6740.27978515625
2025-10-07,185.01968383789062,185.0399932861328,189.05999755859375,184.0,186.22999572753906,140088000,6714.58984375
2025-10-08,189.0892333984375,189.11000061035156,189.60000610351562,186.5399932861328,186.57000732421875,130168900,6753.72021484375
2025-10-09,192.54885864257812,192.57000732421875,195.3000030517578,191.05999755859375,192.22999572753906,182997200,6735.10986328125
2025-10-10,183.139892578125,183.16000366210938,195.6199951171875,182.0500030517578,193.50999450683594,268774400,6552.509765625
2025-10-13,188.29933166503906,188.32000732421875,190.11000061035156,185.9600067138672,187.97000122070312,153482800,6654.72021484375
2025-10-14,180.01022338867188,180.02999877929688,184.8000030517578,179.6999969482422,184.77000427246094,205641400,6644.31005859375
2025-10-15,179.8102569580078,179.8300018310547,184.8699951171875,177.2899932861328,184.8000030517578,214450500,6671.06005859375
2025-10-16,181.7900390625,181.80999755859375,183.27999877929688,179.77000427246094,182.22999572753906,179723300,6629.06982421875
2025-10-17,183.19989013671875,183.22000122070312,184.10000610351562,179.75,180.17999267578125,173135200,6664.009765625
2025-10-20,182.6199493408203,182.63999938964844,185.1999969482422,181.72999572753906,183.1300048828125,128544700,6735.1298828125
2025-10-21,181.14010620117188,181.16000366210938,182.7899932861328,179.8000030517578,182.7899932861328,124240200,6735.35009765625
2025-10-22,180.2602081298828,180.27999877929688,183.44000244140625,176.75999450683594,181.13999938964844,162249600,6699.39990234375
2025-10-23,182.13999938964844,182.16000366210938,183.02999877929688,179.7899932861328,180.4199981689453,111363700,6738.43994140625
2025-10-24,186.23953247070312,186.25999450683594,187.47000122070312,183.5,183.83999633789062,131296700,6791.68994140625
2025-10-27,191.46897888183594,191.49000549316406,192.0,188.42999267578125,189.99000549316406,153452700,6875.16015625
2025-10-28,201.0079345703125,201.02999877929688,203.14999389648438,191.91000366210938,193.0500030517578,297986200,6890.89013671875
2025-10-29,207.01727294921875,207.0399932861328,212.19000244140625,204.77999877929688,207.97999572753906,308829600,6890.58984375
2025-10-30,202.8677215576172,202.88999938964844,206.16000366210938,201.41000366210938,205.14999389648438,178864400,6822.33984375
2025-10-31,202.4677734375,202.49000549316406,207.97000122070312,202.07000732421875,206.4499969482422,179802200,6840.2001953125
2025-11-03,206.85728454589844,206.8800048828125,211.33999633789062,205.55999755859375,208.0800018310547,180267300,6851.97021484375
2025-11-04,198.66818237304688,198.69000244140625,203.97000122070312,197.92999267578125,203.0,188919300,6771.5498046875
2025-11-05,195.18858337402344,195.2100067138672,202.9199981689453,194.64999389648438,198.77000427246094,171350300,6796.2900390625
2025-11-06,188.05935668945312,188.0800018310547,197.6199951171875,186.3800048828125,196.4199981689453,223029800,6720.31982421875
2025-11-07,188.1293487548828,188.14999389648438,188.32000732421875,178.91000366210938,184.89999389648438,264942300,6728.7998046875
2025-11-10,199.0281524658203,199.0500030517578,199.94000244140625,193.7899932861328,195.11000061035156,198897100,6832.43017578125
2025-11-11,193.1387939453125,193.16000366210938,195.4199981689453,191.3000030517578,195.16000366210938,176483300,6846.60986328125
2025-11-12,193.7787322998047,193.8000030517578,195.88999938964844,191.1300048828125,195.72000122070312,154935300,6850.919921875
2025-11-13,186.8394775390625,186.86000061035156,191.44000244140625,183.85000610351562,191.0500030517578,207423100,6737.490234375
2025-11-14,190.1491241455078,190.1699981689453,191.00999450683594,180.5800018310547,182.86000061035156,186591900,6734.10986328125
2025-11-17,186.5795135498047,186.60000610351562,189.0,184.32000732421875,185.97000122070312,173628900,6672.41015625
2025-11-18,181.340087890625,181.36000061035156,184.8000030517578,179.64999389648438,183.3800048828125,213598900,6617.31982421875
